error_idx,row_idx,col,error_type,action,original_action,dirty_value,result_value
0,0,3,0,1,1,,-0.26369806163804477
1,1,3,0,1,1,,0.28261907414968984
2,2,3,0,1,1,,-1.0544695708864271
3,3,3,0,1,1,,-1.1869106182828237
4,4,3,0,1,1,,-1.17298632873161
5,5,3,0,1,1,,0.7155398311534227
6,6,3,0,1,1,,-0.5973068429655334
7,7,3,0,1,1,,0.18475099141800416
8,8,3,0,1,1,,-0.4090757607969196
9,9,3,0,1,1,,0.396598362335216
10,10,3,0,1,1,,-1.1556218096805737
11,11,3,0,1,1,,-1.0722861628366602
12,12,3,0,1,1,,0.11143340832771777
13,13,3,0,1,1,,-1.1398078028150875
14,15,3,0,1,1,,0.6727565091219576
15,16,3,0,1,1,,0.5984881724384605
16,17,3,0,1,1,,-0.13741068940810927
17,18,3,0,1,1,,1.0724193121606191
18,19,3,0,1,1,,-0.5671579874819901
19,20,3,0,1,1,,-0.5698935847127707
20,23,3,0,1,1,,-0.32718516202277337
21,40,3,0,1,1,,1.5068271626260314
22,41,3,0,1,1,,-0.6244793942571674
23,44,3,0,1,1,,-0.5660985456272818
24,45,3,0,1,1,,-1.0732172662388064
25,46,3,0,1,1,,-0.6781398759894692
26,47,3,0,1,1,,-0.6322953411160449
27,48,3,0,1,1,,-1.0756594792794785
28,50,3,0,1,1,,-0.3743330405690176
29,52,3,0,1,1,,-0.6179622201636573
30,61,3,0,1,1,,-1.1804661685982212
31,77,5,0,3,3,,1.0634425320086185
32,79,3,0,1,1,,0.7669425896737332
33,90,3,0,1,1,,-0.7003801422126403
34,91,3,0,1,1,,0.00761634594296154
35,92,3,0,1,1,,0.0004333965808188613
36,93,3,0,1,1,,0.3848077833454394
37,94,3,0,1,1,,0.1982488293829877
38,96,3,0,1,1,,-0.1435559081781759
39,97,3,0,1,1,,-0.19287841142903808
40,98,3,0,1,1,,0.4829317148549013
41,99,3,0,1,1,,0.8203394741672208
42,100,3,0,1,1,,0.8983374825262139
43,101,3,0,1,1,,-1.355523270923852
44,102,3,0,1,1,,1.5505893817941803
45,103,3,0,1,1,,-1.6487849510870192
46,104,3,0,1,1,,0.02044419643693565
47,112,5,0,3,3,,-1.6316277843587639
48,119,3,0,1,1,,0.9679872598613344
49,120,3,0,1,1,,0.34683262167667833
50,121,3,0,1,1,,0.3341535514798521
51,122,3,0,1,1,,0.10147517741725237
52,123,3,0,1,1,,0.10222166531094116
53,124,3,0,1,1,,0.6168448719861088
54,125,3,0,1,1,,-0.38603064899689554
55,126,3,0,1,1,,0.3713928092672646
56,126,6,0,3,3,,1.5179536465921397
57,127,3,0,1,1,,0.9792903213735871
58,133,3,0,1,1,,-0.4906378905360916
59,141,3,0,1,1,,0.16483845643350792
60,142,3,0,1,1,,0.1882567110876182
61,143,3,0,1,1,,0.189169775218893
62,152,3,0,1,1,,0.8701263588118707
63,156,3,0,1,1,,0.16895520414179122
64,157,3,0,1,1,,-0.08162573691907764
65,158,3,0,1,1,,-0.38354080869139584
66,159,3,0,1,1,,-0.3712314754081945
67,160,3,0,1,1,,0.8428915130932939
68,161,3,0,1,1,,-0.7073111891815861
69,162,3,0,1,1,,-0.43625422428741684
70,170,3,0,1,1,,-0.28089007274199024
71,173,3,0,1,1,,-0.9080061803205268
72,174,3,0,1,1,,-1.3986174686851647
73,175,3,0,1,1,,-1.4003830936611477
74,176,3,0,1,1,,0.6546906992329833
75,177,3,0,1,1,,-1.4005316972090898
76,178,3,0,1,1,,-1.1863794279270063
77,182,3,0,1,1,,-0.7227234174576248
78,186,3,0,1,1,,0.08347282659232584
79,188,3,0,1,1,,-0.4772992184906501
80,193,3,0,1,1,,0.7310472730825238
81,203,3,0,1,1,,0.7884819873780935
82,205,3,0,1,1,,0.9589881672522709
83,206,3,0,1,1,,-0.1262874981418718
84,207,3,0,1,1,,1.0008386626805024
85,208,3,0,1,1,,0.761001921972312
86,217,3,0,1,1,,0.23792275803401103
87,218,3,0,1,1,,-0.6815758052957029
88,219,3,0,1,1,,-0.928583725631705
89,220,3,0,1,1,,0.4751309585413633
90,221,3,0,1,1,,-0.8469497139166029
91,222,3,0,1,1,,1.181565342467457
92,224,3,0,1,1,,-0.594205096329031
93,226,3,0,1,1,,-0.5064955985486257
94,234,3,0,1,1,,-0.3905339398824185
95,234,6,0,3,3,,1.5179536465921397
96,235,3,0,1,1,,-0.3727344580947269
97,236,3,0,1,1,,-0.5413973751892505
98,237,3,0,1,1,,0.7942635669084719
99,238,3,0,1,1,,-0.37529947632821614
100,241,3,0,1,1,,0.20477140082004966
101,243,3,0,1,1,,-0.5634126988891582
102,244,3,0,1,1,,-0.4918443303418013
103,245,3,0,1,1,,-0.6908651867529745
104,247,3,0,1,1,,-0.5735329483703753
105,248,3,0,1,1,,0.9080389234689952
106,260,3,0,1,1,,0.2918429581597147
107,272,3,0,1,1,,-0.6478329416719939
108,273,3,0,1,1,,-0.5848001526598902
109,274,3,0,1,1,,-0.6979487108758419
110,286,3,0,1,1,,0.04982213150569281
111,289,3,0,1,1,,0.20562729351142117
112,290,3,0,1,1,,0.05048692986851505
113,292,3,0,1,1,,-0.005508266565904024
114,293,3,0,1,1,,-0.2842816612939484
115,294,2,0,3,3,,-0.029328282556787023
116,294,3,0,1,1,,0.23399322629027405
117,295,3,0,1,1,,0.3035354714935439
118,296,3,0,1,1,,-0.554436953812023
119,297,3,0,1,1,,-0.39316134906267564
120,298,3,0,1,1,,-0.33856535608099997
121,299,2,0,3,3,,-0.010164688896031893
122,299,3,0,3,3,,-0.6333527995024928
123,300,3,0,1,1,,-0.3303475862243998
124,301,3,0,1,1,,-0.2903460997586424
125,302,3,0,1,1,,-0.3402195221501239
126,307,3,0,1,1,,0.02724214915763518
127,308,3,0,1,1,,-0.2517364859111725
128,315,2,0,3,3,,-0.026675252021742486
129,315,3,0,3,3,,-0.3067022675146118
130,316,2,0,3,3,,-0.02312034839525361
131,316,3,0,3,3,,-0.2434736687596476
132,317,2,0,3,3,,-0.023600299648651873
133,317,3,0,3,3,,-0.23006646049138735
134,318,2,0,3,3,,-0.025316172268735383
135,318,3,0,3,3,,-0.2957089489121232
136,319,3,0,1,1,,-0.5656112659646789
137,323,3,0,3,3,,0.297035570258975
138,324,3,0,1,1,,0.20252273613936603
139,325,3,0,3,3,,0.4110198801553248
140,326,3,0,1,1,,0.4392951830423094
141,327,3,0,1,1,,-0.3968711693277747
142,328,3,0,1,1,,0.5438457252024863
143,329,3,0,3,3,,0.6546033812624938
144,330,3,0,1,1,,0.09147537451113046
145,333,3,0,1,1,,-0.7441887068548108
146,340,3,0,1,1,,-0.613659020930734
147,341,3,0,1,1,,0.12024258643747193
148,342,3,0,1,1,,-0.021599008033289596
149,343,3,0,1,1,,0.14364297656099528
150,345,3,0,1,1,,1.4462065770017307
151,347,3,0,1,1,,-0.022233119648006137
152,348,3,0,1,1,,0.06544360323142012
153,349,3,0,1,1,,-1.3044172196071102
154,350,3,0,1,1,,0.20088340127671872
155,351,3,0,1,1,,-1.1523521201900484
