row_idx,row_pos,column,action,source,value
459,224,marriedexemp,delete_as_uniclean_repair,cached_uniclean,0
644,322,state,delete_as_uniclean_repair,cached_uniclean,PR
789,393,state,delete_as_uniclean_repair,cached_uniclean,PA
875,434,state,delete_as_uniclean_repair,cached_uniclean,NC
978,487,gender,delete_as_uniclean_repair,cached_uniclean,M
1050,520,city,delete_as_uniclean_repair,cached_uniclean,REEDSVILLE
1050,520,marriedexemp,delete_as_uniclean_repair,cached_uniclean,0
1160,580,singleexemp,delete_as_uniclean_repair,cached_uniclean,0
1348,685,childexemp,delete_as_uniclean_repair,cached_uniclean,0
1393,710,marriedexemp,delete_as_uniclean_repair,cached_uniclean,0
1565,783,singleexemp,delete_as_uniclean_repair,cached_uniclean,2400
1774,889,childexemp,delete_as_uniclean_repair,cached_uniclean,1500
1997,1004,state,delete_as_uniclean_repair,cached_uniclean,DC
1997,1004,singleexemp,delete_as_uniclean_repair,cached_uniclean,c0
1997,1004,marriedexemp,delete_as_uniclean_repair,cached_uniclean,2740
2258,1128,state,delete_as_uniclean_repair,cached_uniclean,ME
2258,1128,marriedexemp,delete_as_uniclean_repair,cached_uniclean,5700
2312,1153,gender,delete_as_uniclean_repair,cached_uniclean,M
2483,1251,marriedexemp,delete_as_uniclean_repair,cached_uniclean,0
2657,1338,childexemp,delete_as_uniclean_repair,cached_uniclean,0
2888,1440,gender,delete_as_uniclean_repair,cached_uniclean,F
2927,1459,gender,delete_as_uniclean_repair,cached_uniclean,F
2941,1466,childexemp,delete_as_uniclean_repair,cached_uniclean,0
3069,1534,gender,delete_as_uniclean_repair,cached_uniclean,F
3133,1575,gender,delete_as_uniclean_repair,cached_uniclean,F
3215,1617,city,delete_as_uniclean_repair,cached_uniclean,BROOKLYN
3241,1631,gender,delete_as_uniclean_repair,cached_uniclean,F
3241,1631,childexemp,delete_as_uniclean_repair,cached_uniclean,0
3279,1656,gender,delete_as_uniclean_repair,cached_uniclean,F
3279,1656,marriedexemp,delete_as_uniclean_repair,cached_uniclean,0
3464,1744,gender,delete_as_uniclean_repair,cached_uniclean,F
3464,1744,marriedexemp,delete_as_uniclean_repair,cached_uniclean,***
3492,1758,gender,delete_as_uniclean_repair,cached_uniclean,F
3502,1764,gender,delete_as_uniclean_repair,cached_uniclean,F
3588,1813,gender,delete_as_uniclean_repair,cached_uniclean,F
3618,1823,gender,delete_as_uniclean_repair,cached_uniclean,F
3660,1839,gender,delete_as_uniclean_repair,cached_uniclean,F
3660,1839,state,delete_as_uniclean_repair,cached_uniclean,UT
3685,1851,gender,delete_as_uniclean_repair,cached_uniclean,F
3726,1866,gender,delete_as_uniclean_repair,cached_uniclean,F
3745,1879,gender,delete_as_uniclean_repair,cached_uniclean,F
3745,1879,city,delete_as_uniclean_repair,cached_uniclean,NOXAPATER
3758,1887,gender,delete_as_uniclean_repair,cached_uniclean,F
3780,1899,gender,delete_as_uniclean_repair,cached_uniclean,F
3786,1903,state,delete_as_uniclean_repair,cached_uniclean,ID
