error_idx,row_idx,col,error_type,action,original_action,dirty_value,result_value
0,73,2,0,1,1,,0.618895810874799
1,161,2,0,1,1,,-1.2795620684972622
2,164,3,0,1,1,,1.2839502218161767
3,193,3,0,1,1,,-1.6179456424740457
4,206,2,0,1,1,,1.1184899896569203
5,212,2,0,1,1,,0.6855083680457484
6,214,3,0,1,1,,-1.2235131949006175
7,335,2,0,1,1,,0.7521209252166979
8,379,2,0,1,1,,-0.9131930040570398
9,380,3,0,1,1,,0.7204752967112791
10,536,2,0,1,1,,0.618895810874799
11,554,2,0,1,1,,-0.013923482249221441
12,579,2,0,1,1,,1.151796268242395
13,666,3,0,1,1,,1.1712552367951972
14,758,3,0,1,1,,-0.8854282398376789
15,836,3,0,1,1,,0.41056408790358545
16,863,3,0,1,1,,1.3966452068371562
17,1020,2,0,1,1,,-0.5135176610313428
18,1050,2,0,1,1,,1.0851837110714455
19,1079,3,0,1,1,,1.1149077442847075
20,1084,3,0,1,1,,-0.9699494786034135
21,1170,3,0,1,1,,1.3402977143266663
22,1183,2,0,1,1,,0.9852648753150212
23,1261,2,0,1,1,,-1.2795620684972622
24,1326,2,0,1,1,,-0.9131930040570398
25,1331,2,0,1,1,,0.08599535350720282
26,1407,2,0,1,1,,0.4856706965328999
27,1410,3,0,1,1,,-1.336208179921597
28,1452,2,0,1,1,,-1.4127871828391612
29,1587,2,0,1,1,,1.2184088254133445
30,1627,3,0,1,1,,-0.15291083720131207
31,1677,3,0,1,1,,-0.26560582222229157
32,1700,3,0,1,1,,1.4529926993476459
33,1704,2,0,1,1,,0.618895810874799
34,1711,2,0,1,1,,1.4848590540971425
35,1772,3,0,1,1,,-0.20925832971180183
36,1776,3,0,1,1,,0.2415216103721162
37,1783,2,0,1,1,,-1.0797243969844137
38,1786,3,0,1,1,,0.04430538658540206
39,1791,2,0,1,1,,1.3849402183407182
40,1832,3,0,1,1,,-1.308034433666352
41,1870,3,0,1,1,,-1.082644463624393
42,1894,2,0,1,1,,1.018571153900496
43,2114,3,0,1,1,,0.07247913284064694
44,2129,3,0,1,1,,-1.6742931349845354
45,2131,3,0,1,1,,-1.1671657023901276
46,5,3,1,3,3,1.2557764755609317,1.2276027293056868
47,7,2,1,3,3,-1.046418118398939,-1.013111839813464
48,107,2,1,3,3,-0.31367998951849424,-0.0472297608346962
49,107,3,1,3,3,-0.012042105925087695,-0.15291083720131207
50,115,4,1,0,0,1.8618975967003752,
51,189,5,1,0,0,0.6531308200727132,
52,200,2,1,3,3,-0.2803737109330195,-0.0472297608346962
53,200,3,1,3,3,0.016131640330157182,-0.15291083720131207
54,249,3,1,3,3,0.9740390130084831,0.9458652667532381
55,281,5,1,0,0,0.7531521629372517,
56,290,2,1,3,3,-0.4469051038603932,-0.0472297608346962
57,290,3,1,3,3,-0.06838959843557745,-0.15291083720131207
58,295,2,1,3,3,-1.446093461424636,-1.3461746256682117
59,316,2,1,3,3,-1.1130306755698884,-1.0797243969844137
60,344,4,1,0,0,1.7926362002651286,
61,370,3,1,3,3,-0.9136019860929238,-0.9417757323481687
62,382,2,1,3,3,-0.346986268103969,-0.0472297608346962
63,382,3,1,3,3,-0.09656334469082233,-0.15291083720131207
64,398,2,1,3,3,0.28583302502005137,0.019382796336253314
65,464,3,1,3,3,-0.9981232248586585,-1.0262969711139034
66,475,3,1,3,3,0.43873783415883033,0.41056408790358545
67,476,2,1,3,3,1.851228118537365,-0.0472297608346962
68,476,3,1,3,3,-0.18108458345655695,-0.15291083720131207
69,503,3,1,3,3,-0.3219533147327813,0.18517411786162644
70,660,2,1,3,3,1.7180030041954657,-0.0472297608346962
71,660,3,1,0,0,-0.04021585218033257,
72,660,5,1,0,0,1.119897086773893,
73,787,5,1,0,0,-0.6471466371662877,
74,799,4,1,0,0,0.8576073483893016,
75,823,3,1,3,3,-0.8290807473271892,-0.7445595085614545
76,825,2,1,3,3,-0.9464992826425146,-0.9798055612279893
77,840,3,1,3,3,-1.110818209879638,-1.2798606874111071
78,883,2,1,3,3,-1.312868347082737,-1.2795620684972622
79,907,2,1,3,3,0.4523644179474251,0.4856706965328999
80,950,4,1,0,0,1.827266898482752,
81,969,3,1,3,3,0.3260428491378508,0.29786910288260593
82,981,3,1,3,3,-1.4770769111978213,-1.5052506574530662
83,1022,5,1,0,0,-0.08035902760056937,
84,1073,3,1,3,3,0.8331702817322586,-0.6882120160509647
