error_idx,row_idx,col,error_type,action,original_action,dirty_value,result_value
0,8,2,0,2,2,,
1,47,12,0,2,2,,
2,94,2,0,2,2,,
3,181,11,0,2,2,,
4,236,13,0,2,2,,
5,358,2,0,2,2,,
6,494,5,0,2,2,,
7,529,2,0,2,2,,
8,566,6,0,2,2,,
9,640,6,0,2,2,,
10,717,13,0,2,2,,
11,800,12,0,2,2,,
12,863,12,0,2,2,,
13,959,5,0,2,2,,
14,1055,6,0,2,2,,
15,1116,11,0,2,2,,
16,1213,6,0,2,2,,
17,1272,11,0,2,2,,
18,1359,6,0,2,2,,
19,1476,12,0,2,2,,
20,1566,2,0,2,2,,
21,1657,12,0,2,2,,
22,1686,5,0,2,2,,
23,1792,13,0,2,2,,
24,1834,6,0,2,2,,
25,1903,2,0,2,2,,
26,1997,2,0,2,2,,
27,2135,12,0,2,2,,
28,2236,5,0,2,2,,
29,2268,11,0,2,2,,
30,2390,12,0,2,2,,
31,2434,2,0,2,2,,
32,2503,5,0,2,2,,
33,2563,13,0,2,2,,
34,2640,13,0,2,2,,
35,2723,5,0,2,2,,
36,2786,12,0,2,2,,
37,2807,2,0,2,2,,
38,2866,13,0,2,2,,
39,2885,2,0,2,2,,
40,2927,11,0,2,2,,
41,2935,2,0,2,2,,
42,2972,12,0,2,2,,
43,3019,2,0,2,2,,
44,3035,2,0,2,2,,
45,3050,2,0,2,2,,
46,3081,12,0,2,2,,
47,3128,2,0,2,2,,
48,3165,12,0,2,2,,
49,3176,2,0,2,2,,
50,3197,2,0,2,2,,
51,3207,2,0,2,2,,
52,3237,2,0,2,2,,
53,3276,2,0,2,2,,
54,3300,2,0,2,2,,
55,3336,12,0,2,2,,
56,3361,2,0,2,2,,
57,3399,2,0,2,2,,
58,3409,2,0,2,2,,
59,3434,2,0,2,2,,
60,3444,2,0,2,2,,
61,3498,2,0,2,2,,
62,3504,2,0,2,2,,
63,3521,13,0,2,2,,
64,3561,2,0,2,2,,
65,3609,5,0,2,2,,
66,3639,5,0,2,2,,
67,3647,2,0,2,2,,
68,3665,2,0,2,2,,
69,3688,6,0,2,2,,
70,3703,13,0,2,2,,
71,3735,11,0,2,2,,
72,3746,2,0,2,2,,
73,3784,11,0,2,2,,
74,3817,2,0,2,2,,
75,3826,6,0,2,2,,
76,3847,11,0,2,2,,
77,3883,2,0,2,2,,
78,3907,2,0,2,2,,
79,3917,2,0,2,2,,
80,3934,2,0,2,2,,
81,3959,2,0,2,2,,
82,3977,2,0,2,2,,
83,3997,11,0,2,2,,
84,4037,2,0,2,2,,
85,4078,12,0,2,2,,
86,4093,5,0,2,2,,
87,4122,5,0,2,2,,
88,4151,11,0,2,2,,
