row_idx,row_pos,column,action,source,value
1,0,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
1,0,City,delete_as_uniclean_repair,cached_uniclean,guntersville
1,0,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
2,1,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
2,1,City,delete_as_uniclean_repair,cached_uniclean,guntersville
2,1,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
2,1,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
2,1,MeasureName,delete_as_uniclean_repair,cached_uniclean,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
3,2,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
3,2,City,delete_as_uniclean_repair,cached_uniclean,guntersville
3,2,State,delete_as_uniclean_repair,cached_uniclean,al
3,2,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
4,3,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
4,3,City,delete_as_uniclean_repair,cached_uniclean,guntersville
4,3,State,delete_as_uniclean_repair,cached_uniclean,al
4,3,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
4,3,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
5,4,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
5,4,City,delete_as_uniclean_repair,cached_uniclean,guntersville
5,4,State,delete_as_uniclean_repair,cached_uniclean,al
5,4,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
5,4,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
6,5,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
6,5,City,delete_as_uniclean_repair,cached_uniclean,guntersville
6,5,State,delete_as_uniclean_repair,cached_uniclean,al
6,5,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
6,5,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
7,6,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
7,6,City,delete_as_uniclean_repair,cached_uniclean,guntersville
7,6,State,delete_as_uniclean_repair,cached_uniclean,al
7,6,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
7,6,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
8,7,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
8,7,City,delete_as_uniclean_repair,cached_uniclean,guntersville
8,7,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
8,7,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
14,13,HospitalName,delete_as_uniclean_repair,cached_uniclean,helen keller memorial hospital
15,14,HospitalName,delete_as_uniclean_repair,cached_uniclean,helen keller memorial hospital
19,18,HospitalName,delete_as_uniclean_repair,cached_uniclean,helen keller memorial hospital
19,18,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
50,49,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-7a
61,60,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
61,60,MeasureName,delete_as_uniclean_repair,cached_uniclean,pneumonia patients assessed and given influenza vaccination
75,74,HospitalName,delete_as_uniclean_repair,cached_uniclean,eliza coffee memorial hospital
75,74,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,2567688400
87,85,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
97,95,ZipCode,delete_as_uniclean_repair,cached_uniclean,36467
97,95,Condition,delete_as_uniclean_repair,cached_uniclean,heart attack
98,96,ZipCode,delete_as_uniclean_repair,cached_uniclean,36467
100,98,CountyName,delete_as_uniclean_repair,cached_uniclean,covington
116,113,ZipCode,delete_as_uniclean_repair,cached_uniclean,36467
123,120,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-4
146,142,HospitalName,delete_as_uniclean_repair,cached_uniclean,hartselle medical center
146,142,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart attack patients given aspirin at discharge
166,161,HospitalName,delete_as_uniclean_repair,cached_uniclean,hartselle medical center
166,161,MeasureName,delete_as_uniclean_repair,cached_uniclean,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
168,163,HospitalName,delete_as_uniclean_repair,cached_uniclean,hartselle medical center
168,163,City,delete_as_uniclean_repair,cached_uniclean,hartselle
168,163,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
168,163,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_scip-vte-1
175,170,CountyName,delete_as_uniclean_repair,cached_uniclean,jefferson
175,170,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,2053258100
176,171,CountyName,delete_as_uniclean_repair,cached_uniclean,jefferson
176,171,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,2053258100
191,186,HospitalName,delete_as_uniclean_repair,cached_uniclean,callahan eye foundation hospital
191,186,CountyName,delete_as_uniclean_repair,cached_uniclean,jefferson
191,186,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,2053258100
191,186,MeasureName,delete_as_uniclean_repair,cached_uniclean,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
200,195,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart attack patients given fibrinolytic medication within 30 minutes of arrival
216,210,City,delete_as_uniclean_repair,cached_uniclean,birmingham
216,210,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
216,210,MeasureName,delete_as_uniclean_repair,cached_uniclean,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
245,239,City,delete_as_uniclean_repair,cached_uniclean,thomasville
245,239,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-1
246,240,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-2
248,242,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-4
250,244,HospitalName,delete_as_uniclean_repair,cached_uniclean,southwest alabama medical center
250,244,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-7a
251,245,HospitalName,delete_as_uniclean_repair,cached_uniclean,southwest alabama medical center
251,245,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-8a
252,246,HospitalName,delete_as_uniclean_repair,cached_uniclean,southwest alabama medical center
252,246,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart failure patients given discharge instructions
255,249,HospitalName,delete_as_uniclean_repair,cached_uniclean,southwest alabama medical center
255,249,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_hf-4
275,269,CountyName,delete_as_uniclean_repair,cached_uniclean,shelby
288,282,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
295,289,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
295,289,City,delete_as_uniclean_repair,cached_uniclean,guntersville
295,289,State,delete_as_uniclean_repair,cached_uniclean,al
295,289,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
295,289,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
295,289,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart attack patients given aspirin at arrival
295,289,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-1
296,290,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
296,290,City,delete_as_uniclean_repair,cached_uniclean,guntersville
296,290,State,delete_as_uniclean_repair,cached_uniclean,al
296,290,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
297,291,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
297,291,City,delete_as_uniclean_repair,cached_uniclean,guntersville
297,291,State,delete_as_uniclean_repair,cached_uniclean,al
297,291,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
297,291,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-3
298,292,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
298,292,City,delete_as_uniclean_repair,cached_uniclean,guntersville
298,292,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
299,293,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
299,293,City,delete_as_uniclean_repair,cached_uniclean,guntersville
299,293,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
300,294,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
300,294,City,delete_as_uniclean_repair,cached_uniclean,guntersville
300,294,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
301,295,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
301,295,City,delete_as_uniclean_repair,cached_uniclean,guntersville
301,295,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
302,296,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
302,296,City,delete_as_uniclean_repair,cached_uniclean,guntersville
302,296,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
303,297,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
303,297,City,delete_as_uniclean_repair,cached_uniclean,guntersville
303,297,State,delete_as_uniclean_repair,cached_uniclean,al
303,297,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
304,298,HospitalName,delete_as_uniclean_repair,cached_uniclean,callahan eye foundation hospital
304,298,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
304,298,City,delete_as_uniclean_repair,cached_uniclean,guntersville
304,298,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
305,299,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
305,299,City,delete_as_uniclean_repair,cached_uniclean,guntersville
305,299,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
305,299,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart failure patients given smoking cessation advice/counseling
306,300,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
306,300,City,delete_as_uniclean_repair,cached_uniclean,guntersville
306,300,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
307,301,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
307,301,City,delete_as_uniclean_repair,cached_uniclean,guntersville
307,301,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
308,302,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
308,302,City,delete_as_uniclean_repair,cached_uniclean,guntersville
308,302,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
309,303,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
309,303,City,delete_as_uniclean_repair,cached_uniclean,guntersville
309,303,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
310,304,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
310,304,City,delete_as_uniclean_repair,cached_uniclean,guntersville
310,304,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
311,305,Address1,delete_as_uniclean_repair,cached_uniclean,8000 alabama highway 69
311,305,City,delete_as_uniclean_repair,cached_uniclean,guntersville
311,305,ZipCode,delete_as_uniclean_repair,cached_uniclean,35976
363,356,EmergencyService,delete_as_uniclean_repair,cached_uniclean,yes
376,369,City,delete_as_uniclean_repair,cached_uniclean,winfield
376,369,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_scip-inf-4
385,378,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,2514717110
398,391,Condition,delete_as_uniclean_repair,cached_uniclean,heart attack
403,396,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_pn-2
415,408,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart attack patients given aspirin at arrival
415,408,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_ami-1
429,422,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,2562495000
447,439,PhoneNumber,delete_as_uniclean_repair,cached_uniclean,9072761131
447,439,Stateavg,delete_as_uniclean_repair,cached_uniclean,al_scip-inf-4
451,443,Address1,delete_as_uniclean_repair,cached_uniclean,o box 287
451,443,MeasureName,delete_as_uniclean_repair,cached_uniclean,heart attack patients given aspirin at arrival
