error_idx,row_idx,col,error_type,action,original_action,dirty_value,result_value
0,1,7,0,1,1,,-0.7620814591130768
1,3,1,0,0,0,,
2,3,2,0,0,0,,
3,5,1,0,1,1,,1.7868475028747823
4,5,2,0,1,1,,1.6360592709944812
5,7,2,0,1,1,,1.8492150031296457
6,8,2,0,1,1,,-2.1446502937186978
7,11,1,0,1,1,,0.26461715038901973
8,11,2,0,1,1,,-0.4281857138934265
9,11,3,0,1,1,,0.5781340952770625
10,12,2,0,1,1,,-1.0339967420670517
11,14,2,0,1,1,,-1.29202736517804
12,15,2,0,1,1,,-0.8208410099318872
13,18,1,0,1,1,,-1.0086502939799125
14,18,2,0,1,1,,-0.7535286734681511
15,18,3,0,1,1,,-1.0848966863865641
16,23,2,0,1,1,,0.6824678377582195
17,23,3,0,1,1,,0.0478923967756163
18,25,2,0,1,1,,-1.29202736517804
19,27,2,0,1,1,,-0.5403729413329867
20,28,1,0,1,1,,-1.826671277792355
21,28,2,0,1,1,,-1.29202736517804
22,28,3,0,1,1,,-1.5589006289863419
23,29,2,0,1,1,,-1.740776274936281
24,30,1,0,1,1,,-1.0513296496570834
25,38,2,0,1,1,,-1.29202736517804
26,40,1,0,1,1,,-0.31155415125278757
27,40,2,0,1,1,,-0.22624870450221812
28,40,3,0,1,1,,0.08002825729085546
29,46,1,0,1,1,,-1.3643115912896702
30,46,2,0,1,1,,-1.29202736517804
31,46,3,0,1,1,,-1.5589006289863419
32,50,2,0,1,1,,-0.0018742496230977207
33,51,2,0,1,1,,0.05421936409668238
34,52,7,0,1,1,,-0.21230601815348019
35,55,2,0,1,1,,-1.9651507298154014
36,56,3,0,1,1,,-0.24133034786153618
37,59,2,0,1,1,,-0.8993720691395793
38,60,1,0,1,1,,0.3144097320123858
39,60,2,0,1,1,,0.30103126446371486
40,60,3,0,1,1,,-1.7276138966913475
41,61,3,0,1,1,,-1.2616439192203797
42,67,1,0,1,1,,-0.9446312604641561
43,67,2,0,1,1,,-0.686216337004415
44,67,3,0,1,1,,1.6145155968935254
45,70,2,0,3,3,,1.3555912023955807
46,72,2,0,1,1,,-0.24868614999013017
47,76,2,0,1,1,,-1.5724954337769406
48,77,1,0,1,1,,1.018619100685706
49,77,2,0,1,1,,2.017495844288986
50,77,3,0,1,1,,1.0682059681344598
51,81,1,0,1,1,,0.02988069416457972
52,81,2,0,1,1,,0.6488116695263515
53,81,3,0,1,1,,-0.7153342904613138
54,85,2,0,1,1,,-1.4939643745692486
55,85,7,0,1,1,,0.3256462950435444
56,86,1,0,1,1,,-0.6245360928853743
57,86,2,0,1,1,,-0.2038112590143061
58,86,3,0,1,1,,-1.020624965356086
59,88,1,0,1,1,,-0.31155415125278757
60,88,2,0,1,1,,-0.22624870450221812
61,88,3,0,1,1,,0.08002825729085546
62,89,2,0,1,1,,-1.1013090785307877
63,91,2,0,1,1,,-1.3256835334099082
64,95,2,0,1,1,,0.3346874326955829
65,95,3,0,1,1,,-0.06458311502772077
66,96,2,0,1,1,,-1.1013090785307877
67,97,2,0,1,1,,0.3346874326955829
68,99,1,0,1,1,,0.5278065103982403
69,99,2,0,1,1,,0.41321849190327503
70,99,3,0,1,1,,-0.08868501041415014
71,100,1,0,1,1,,0.3144097320123858
72,100,2,0,1,1,,0.30103126446371486
73,100,3,0,1,1,,1.4538362943173297
74,101,1,0,1,1,,1.018619100685706
75,101,2,0,1,1,,1.6360592709944812
76,101,3,0,1,1,,-1.1250665120306131
77,104,2,0,1,1,,-0.7535286734681511
78,104,3,0,1,1,,-1.0848966863865641
79,109,2,0,3,3,,-1.191058860482436
80,110,1,0,1,1,,0.2575039244428246
81,110,2,0,1,1,,0.6600303922703075
82,110,3,0,1,1,,-0.23329638273272638
83,112,2,0,1,1,,0.3346874326955829
84,114,2,0,3,3,,0.36834360092745094
85,118,2,0,1,1,,-2.122212848230786
86,120,1,0,1,1,,1.018619100685706
87,120,2,0,1,1,,2.017495844288986
88,120,3,0,1,1,,-1.1250665120306131
89,122,2,0,1,1,,-0.22624870450221812
90,128,1,0,1,1,,0.3001832801199955
91,128,2,0,1,1,,-0.02431169511100976
92,129,7,0,1,1,,1.626190348926461
93,130,1,0,3,3,,-1.634614177245086
94,130,2,0,3,3,,-1.729557552192325
95,130,3,0,0,0,,
96,131,2,0,1,1,,-0.0467491405989218
97,131,3,0,1,1,,1.204783375324226
98,132,2,0,1,1,,1.467778429835141
99,135,1,0,3,3,,0.15080553524989732
100,135,2,0,1,1,,-1.3369022561538642
101,135,3,0,1,1,,-0.04851518477010119
102,136,7,0,1,1,,0.6803401279207035
103,137,2,0,1,1,,-1.5724954337769406
104,142,2,0,1,1,,-0.2038112590143061
105,142,3,0,1,1,,-1.020624965356086
106,146,7,0,1,1,,1.25967338828673
107,151,1,0,3,3,,-0.9446312604641561
108,151,2,0,1,1,,-1.29202736517804
109,151,3,0,1,1,,1.6145155968935254
110,152,3,0,1,1,,-0.2011605222174872
111,153,1,0,3,3,,0.07256004984175063
112,155,2,0,1,1,,-1.0676529102989196
113,162,2,0,3,3,,0.24493765074393473
114,163,2,0,1,1,,-0.5515916640769427
115,166,2,0,1,1,,-1.8866196706077092
116,167,2,0,1,1,,-0.7871848417000191
117,174,3,0,1,1,,0.634371851178731
118,177,2,0,1,1,,0.41321849190327503
119,177,3,0,1,1,,0.136266013192524
120,177,7,0,3,3,,-0.9394283755516563
121,178,3,0,1,1,,-1.5508666638575321
122,179,2,0,3,3,,2.096026903496678
123,181,2,0,1,1,,-0.2038112590143061
124,181,3,0,1,1,,-1.020624965356086
125,182,2,0,1,1,,1.7258090529461294
126,185,2,0,1,1,,-1.6398077702406768
127,191,2,0,1,1,,1.9053086168494258
128,194,2,0,1,1,,0.985373351845032
129,196,2,0,1,1,,-1.4378707608494683
130,196,3,0,1,1,,-1.8882931992675431
131,198,1,0,3,3,,0.5278065103982403
132,198,2,0,1,1,,0.41321849190327503
133,198,3,0,1,1,,-0.08868501041415014
134,203,2,0,1,1,,1.535090766298877
135,203,3,0,1,1,,-1.6231723500168203
136,205,2,0,1,1,,-1.2695899196901281
137,205,3,0,1,1,,1.4297343989309004
138,206,1,0,3,3,,1.6019036282737082
