error_idx,row_idx,col,error_type,action,original_action,dirty_value,result_value
0,142,3,0,1,1,,1.4203360839236592
1,587,2,0,1,1,,0.9663965637108505
2,599,3,0,1,1,,-1.4302753034962596
3,633,2,0,1,1,,1.2776778430324691
4,783,2,0,1,1,,-0.5121895130668378
5,799,2,0,1,1,,-0.12308791391481452
6,806,3,0,1,1,,0.19349067667964348
7,819,3,0,1,1,,-0.05909514245883035
8,1046,3,0,1,1,,-1.6828611226347334
9,1097,2,0,1,1,,-0.16199807383001685
10,5,2,1,1,1,1.8224200818453016,1.2776778430324691
11,218,2,1,1,1,-0.3565488734060285,0.032552725745994764
12,235,3,1,1,1,-1.1416057959094326,-1.105522107461079
13,676,3,1,1,1,0.9512481340950649,0.9151644456467115
14,686,2,1,1,1,-0.47327935315163544,-0.5121895130668378
15,765,2,1,1,1,-0.4343691932364331,-0.5121895130668378
16,851,3,1,1,1,-0.744685222977545,-0.7086015345291916
17,865,2,1,1,1,0.8885762438804459,-0.5121895130668378
18,1022,5,1,1,1,1.6669064587606672,-1.3176280306755572
19,1025,2,1,1,1,-0.9012911122188609,-0.8623809523036586
20,1028,2,1,1,1,-0.3954590333212308,-0.12308791391481452
21,1051,3,1,1,1,-1.0333547305643722,-1.1776894843577859
22,1108,3,1,1,1,-0.744685222977545,-0.7086015345291916
23,1261,3,1,1,1,-0.7807689114258984,-0.4560157153907178
24,1360,3,1,1,1,1.8533403453039001,-0.4560157153907178
25,1439,3,1,1,1,-1.718944811083087,-1.6828611226347334
26,1471,2,1,1,1,1.861330241760504,-1.3293028712860866
27,1511,3,1,1,1,1.5285871492687193,1.1316665763368319
28,1526,2,1,1,1,0.18819336540680406,0.2660136852372087
29,1596,5,1,1,1,1.7020186292246229,0.19219529927453288
30,1611,2,1,1,1,-1.3682130312012888,-1.2125723915404796
31,1643,4,1,1,1,-1.0643179243432053,-1.1001731759893272
32,1788,5,1,1,1,0.22730746973848845,0.19219529927453288
33,1849,3,1,1,1,1.8894240337522534,1.7450892799588398
34,1889,2,1,1,1,0.304923845152411,0.2660136852372087
35,1927,2,1,1,1,0.8496660839652436,-0.20090823374521916
36,2082,3,1,1,1,1.8172566568555466,1.7811729684071933
37,2102,4,1,1,1,-0.8491864144664741,-1.0284626726970836
38,2236,4,1,1,1,1.7323917040543009,-1.6738572023272773
