row_idx,row_pos,column,action,source,value
19,15,journal_issn,repair_value,cached_uniclean,68-Jan
132,96,journal_issn,repair_value,cached_uniclean,37-Feb
149,106,journal_title,replace_nearby,cached_uniclean,Gtu
149,106,journal_issn,replace_nearby,cached_uniclean,0017-5749
747,476,journal_issn,replace_nearby,cached_uniclean,67-Mar
773,495,journal_issn,replace_nearby,cached_uniclean,1460-2105
798,512,journal_title,replace_nearby,cached_uniclean,J Hand Srg Am
801,514,journal_title,replace_nearby,cached_uniclean,Journal of the National Cancer Institute
868,559,journal_issn,repair_value,cached_uniclean,1432-0843
236,160,journal_issn,replace_nearby,cached_uniclean,47-Jan
435,282,journal_issn,replace_nearby,cached_uniclean,Fb-65
508,329,journal_issn,replace_nearby,cached_uniclean,53-Nov
