error_idx,row_idx,col,error_type,action,original_action,dirty_value,result_value
0,0,3,0,1,1,,0.0
1,0,4,0,1,1,,0.0
2,0,15,0,0,0,,
3,0,16,0,0,0,,
4,1,3,0,1,1,,0.0
5,1,4,0,1,1,,0.0
6,1,15,0,0,0,,
7,1,16,0,0,0,,
8,2,3,0,0,0,,
9,2,4,0,0,0,,
10,2,15,0,0,0,,
11,2,16,0,0,0,,
12,3,3,0,0,0,,
13,3,4,0,0,0,,
14,3,15,0,0,0,,
15,3,16,0,0,0,,
16,4,3,0,0,0,,
17,4,4,0,0,0,,
18,4,11,0,0,0,,
19,4,15,0,0,0,,
20,4,16,0,0,0,,
21,5,3,0,0,0,,
22,5,4,0,0,0,,
23,5,15,0,0,0,,
24,5,16,0,0,0,,
25,6,3,0,0,0,,
26,6,4,0,0,0,,
27,6,15,0,0,0,,
28,6,16,0,0,0,,
29,7,3,0,0,0,,
30,7,4,0,0,0,,
31,7,15,0,0,0,,
32,7,16,0,0,0,,
33,8,3,0,0,0,,
34,8,4,0,0,0,,
35,9,3,0,0,0,,
36,9,4,0,0,0,,
37,10,3,0,0,0,,
38,10,4,0,0,0,,
39,11,3,0,0,0,,
40,11,4,0,0,0,,
41,12,3,0,0,0,,
42,12,4,0,0,0,,
43,13,3,0,0,0,,
44,13,4,0,0,0,,
45,13,15,0,0,0,,
46,14,3,0,0,0,,
47,14,4,0,0,0,,
48,14,15,0,0,0,,
49,15,3,0,0,0,,
50,15,4,0,0,0,,
51,16,3,0,0,0,,
52,16,4,0,0,0,,
53,17,3,0,0,0,,
54,17,4,0,0,0,,
55,18,3,0,0,0,,
56,18,4,0,0,0,,
57,19,3,0,0,0,,
58,19,4,0,0,0,,
59,20,3,0,0,0,,
60,20,4,0,0,0,,
61,21,3,0,0,0,,
62,21,4,0,0,0,,
63,22,3,0,0,0,,
64,22,4,0,0,0,,
65,23,3,0,0,0,,
66,23,4,0,0,0,,
67,24,3,0,0,0,,
68,24,4,0,0,0,,
69,24,15,0,0,0,,
70,25,3,0,0,0,,
71,25,4,0,0,0,,
72,26,3,0,0,0,,
73,26,4,0,0,0,,
74,27,3,0,0,0,,
75,27,4,0,0,0,,
76,28,3,0,0,0,,
77,28,4,0,0,0,,
78,29,3,0,0,0,,
79,29,4,0,0,0,,
80,30,3,0,0,0,,
81,30,4,0,0,0,,
82,31,3,0,0,0,,
83,31,4,0,0,0,,
84,32,3,0,0,0,,
85,32,4,0,0,0,,
86,33,3,0,0,0,,
87,33,4,0,0,0,,
88,34,3,0,0,0,,
89,34,4,0,0,0,,
90,35,3,0,0,0,,
91,35,4,0,0,0,,
92,36,3,0,0,0,,
93,36,4,0,0,0,,
94,37,3,0,0,0,,
95,37,4,0,0,0,,
96,38,3,0,0,0,,
97,38,4,0,0,0,,
98,39,3,0,0,0,,
99,39,4,0,0,0,,
100,40,3,0,0,0,,
101,40,4,0,0,0,,
102,41,3,0,0,0,,
103,41,4,0,0,0,,
104,42,3,0,0,0,,
105,42,4,0,0,0,,
106,43,3,0,0,0,,
107,43,4,0,0,0,,
108,44,3,0,0,0,,
109,44,4,0,0,0,,
110,45,3,0,0,0,,
111,45,4,0,0,0,,
112,46,3,0,0,0,,
113,46,4,0,0,0,,
114,47,3,0,0,0,,
115,47,4,0,0,0,,
116,47,15,0,0,0,,
117,48,3,0,0,0,,
118,48,4,0,0,0,,
119,49,3,0,0,0,,
120,49,4,0,0,0,,
121,49,15,0,0,0,,
122,50,3,0,0,0,,
123,50,4,0,0,0,,
124,50,15,0,0,0,,
125,51,3,0,0,0,,
126,51,4,0,0,0,,
127,52,3,0,0,0,,
128,52,4,0,0,0,,
129,53,3,0,0,0,,
130,53,4,0,0,0,,
131,54,3,0,0,0,,
132,54,4,0,0,0,,
133,55,3,0,0,0,,
134,55,4,0,0,0,,
135,56,3,0,0,0,,
136,56,4,0,0,0,,
137,57,3,0,0,0,,
138,57,4,0,0,0,,
139,58,1,0,3,3,,0.41026633835409654
140,58,3,0,0,0,,
141,58,4,0,0,0,,
142,59,3,0,0,0,,
143,59,4,0,0,0,,
144,60,3,0,0,0,,
145,60,4,0,0,0,,
146,61,3,0,0,0,,
147,61,4,0,0,0,,
148,62,3,0,0,0,,
149,62,4,0,0,0,,
150,63,3,0,0,0,,
151,63,4,0,0,0,,
152,64,3,0,0,0,,
153,64,4,0,0,0,,
154,65,3,0,0,0,,
155,65,4,0,0,0,,
156,65,15,0,0,0,,
157,66,3,0,0,0,,
158,66,4,0,0,0,,
159,67,3,0,0,0,,
160,67,4,0,0,0,,
161,68,3,0,0,0,,
