idx,col,error_type,estimated_value,current_dirty_value
0,3,0,0.0,
0,4,0,0.0,
1,3,0,0.0,
1,4,0,0.0,
91,7,0,-0.7233477313331871,
168,5,0,0.2223674575154615,
207,5,0,-1.168148455192128,
391,11,0,-0.7358385790835459,
444,3,0,0.0,
473,8,0,-0.4373463681133746,
484,11,0,-1.1999649728636588,
487,5,0,-0.6773781330600375,
501,9,0,0.3278674293910969,
544,3,0,0.0,
544,4,0,0.0,
556,11,0,1.1206669960369056,
593,15,0,-1.4569627472490447,
600,3,0,0.0,
613,15,0,-1.4569627472490447,
644,15,0,-0.2694867293517474,
646,15,0,-0.2694867293517474,
647,15,0,-0.2694867293517474,
658,15,0,1.066423790782712,
659,15,0,1.066423790782712,
661,15,0,1.066423790782712,
662,15,0,-1.3085282450118827,
665,15,0,1.066423790782712,
671,15,0,-1.4569627472490447,
694,15,0,-1.4569627472490447,
697,15,0,-1.4569627472490447,
712,15,0,-1.4569627472490447,
721,15,0,-1.4569627472490447,
722,15,0,-1.4569627472490447,
737,15,0,0.9674674559579374,
739,4,0,0.0,
744,15,0,-1.4569627472490447,
746,15,0,-1.4569627472490447,
747,15,0,-1.4569627472490447,
762,15,0,-1.4569627472490447,
770,15,0,0.07686044253496437,
782,15,0,-1.4569627472490447,
830,15,0,-1.4569627472490447,
833,15,0,-1.4569627472490447,
848,15,0,0.9674674559579374,
